sample,modal,inf,n,procent,syl_inf,xpos,upos,morph_aspect,xpos2
casniki,morati,odsvetovati,2,0.11,5,Ggdn,VERB,Perf,Vmen
casniki,morati,odšteti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,odviti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,ohraniti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,okrepiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,omejiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,opustiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,podpisati,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pogovoriti,2,0.11,5,Ggdn,VERB,Perf,Vmen
casniki,morati,pohvaliti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pomisliti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poskušati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,posloviti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poslušati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,posneti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,posredovati,2,0.11,5,Ggvn,VERB,Both,Vmbn
casniki,morati,postati,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,posvetiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,posvetovati,2,0.11,5,Ggvn,VERB,Both,Vmbn
casniki,morati,potegniti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,potruditi,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,povezati,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pozabiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,predelati,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prejemati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,prepustiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,presoditi,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prijaviti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prirediti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pristati,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,reševati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,sodelovati,2,0.11,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,spopadati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,spopasti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,spraševati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,spremljati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,sproščati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,spucati,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,stati,2,0.11,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,testirati,2,0.11,4,Ggvn,VERB,Both,Vmbn
casniki,morati,tisti,2,0.11,2,Zk-mmi,UNK,UNK,Pd-mpn
casniki,morati,ugasniti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,uglasiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,umiti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,usklajevati,2,0.11,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,ustvarjati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,veljati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,vesti,2,0.11,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,videti,2,0.11,3,Ggvn,VERB,Both,Vmbn
casniki,morati,vključevati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,vključiti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,vložiti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,vpeljati,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,zadoščati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,zadovoljiti,2,0.11,5,Ggdn,VERB,Perf,Vmen
casniki,morati,zapisati,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,zaščititi,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,zavarovati,2,0.11,5,Ggdn,VERB,Perf,Vmen
casniki,morati,zavezati,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,zavrniti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,zavrti,2,0.11,2,Pdnmmi,UNK,UNK,Appmpn
casniki,morati,zbrati,2,0.11,2,Ggdn,VERB,Perf,Vmen
casniki,morati,zdraviti,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,zglasiti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,zgoditi,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,zmanjšati,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,znašati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,znebiti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,čistiti,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,decentralisti,1,0.05,5,Sommi,UNK,UNK,Ncmpn
casniki,morati,definirati,1,0.05,5,Ggvn,VERB,Both,Vmbn
casniki,morati,doklicati,1,0.05,4,Ggvn,VERB,Both,Vmbn
casniki,morati,določiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,domovati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,doplačevati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,doprinesti,1,0.05,4,Ggvn,VERB,Both,Vmbn
casniki,morati,dopustiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,dotakniti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,dovoliti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,gledati,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,gostiti,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,graditi,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,hospitalizirati,1,0.05,7,Ggvn,VERB,Both,Vmbn
casniki,morati,hraniti,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,hvaliti,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,iskati,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,izboriti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izčistiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izdelati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izginiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izkazovati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,izkusiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izobraževati,1,0.05,6,Ggnn,VERB,Imp,Vmpn
casniki,morati,izolirati,1,0.05,5,Ggvn,VERB,Both,Vmbn
casniki,morati,izraziti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izvesti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,izvršiti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,jemati,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,komunisti,1,0.05,4,Sommi,UNK,UNK,Ncmpn
casniki,morati,koncentrirati,1,0.05,5,Ggvn,VERB,Both,Vmbn
casniki,morati,konkurirati,1,0.05,5,Ggvn,VERB,Both,Vmbn
casniki,morati,koordinirati,1,0.05,5,Ggvn,VERB,Both,Vmbn
casniki,morati,kriti,1,0.05,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,kupovati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,ljubiti,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,lotevati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,malenkosti,1,0.05,4,Sozer,UNK,UNK,Ncfsg
casniki,morati,mati,1,0.05,2,Sommi,UNK,UNK,Ncmpn
casniki,morati,mazati,1,0.05,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,menjavati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,modernizirati,1,0.05,6,Ggvn,VERB,Both,Vmbn
casniki,morati,morebiti,1,0.05,4,L,UNK,UNK,Q
casniki,morati,načrtovati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,nadeti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,nadgraditi,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,nadomeščati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,nadzirati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,nagrabiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,napotiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,napredovati,1,0.05,5,Ggvn,VERB,Both,Vmbn
casniki,morati,narezati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,naročati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,naročiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,navaditi,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,navesti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,negovati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,občudovati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,občutiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,obljubiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,obnašati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,obravnavati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,obrniti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,obsegati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,obsojati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,obveljati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,obvestiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,obvladati,1,0.05,4,Ggvn,VERB,Both,Vmbn
casniki,morati,oddaljiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odgovarjati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,odgovrajati,1,0.05,5,Ggdn,VERB,Perf,Vmen
casniki,morati,odhiteti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odnehati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odnesti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,odpeljati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odpustiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odpuščati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,odskočiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odstopiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odvzeti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,ogledati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,ohranjati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,okužiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,omogočati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,opomniti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,opozarjati,1,0.05,5,Ggnn,VERB,Imp,Vmpn
