SubjID;WordType;Genus;Sigstark;En;E;Er;S;Z
20;NoRhyme;Masc;3,55333333333333;1;10;1;0;0
20;NoRhyme;Neut;3,53916666666667;1;10;1;0;0
20;Rhyme;Fem;3,52083333333333;2;5;5;0;0
20;Rhyme;Masc;3,72666666666667;3;4;5;0;0
20;Rhyme;Neut;3,54000000000000;2;8;2;0;0
21;NoRhyme;Fem;3,81916666666667;2;10;0;0;0
21;NoRhyme;Masc;3,99666666666667;3;9;0;0;0
21;NoRhyme;Neut;4,01083333333333;3;9;0;0;0
21;Rhyme;Fem;3,35416666666667;1;9;1;0;1
21;Rhyme;Masc;3,73750000000000;3;7;1;0;1
21;Rhyme;Neut;3,74833333333333;2;9;1;0;0
22;NoRhyme;Fem;3,42166666666667;0;12;0;0;0
22;NoRhyme;Masc;3,43583333333333;0;12;0;0;0
22;NoRhyme;Neut;3,40750000000000;0;12;0;0;0
22;Rhyme;Fem;3,51416666666667;1;10;1;0;0
22;Rhyme;Masc;3,51416666666667;1;10;1;0;0
22;Rhyme;Neut;3,51416666666667;1;10;1;0;0
23;NoRhyme;Fem;3,46500000000000;1;9;2;0;0
23;NoRhyme;Masc;3,36166666666667;0;11;1;0;0
23;NoRhyme;Neut;2,62916666666667;0;3;1;8;0
23;Rhyme;Fem;3,60250000000000;2;9;1;0;0
23;Rhyme;Masc;3,41083333333333;1;10;1;0;0
23;Rhyme;Neut;2,83333333333333;0;5;1;6;0
24;NoRhyme;Fem;4,71750000000000;7;4;1;0;0
24;NoRhyme;Masc;3,30916666666667;0;10;2;0;0
24;NoRhyme;Neut;4,14250000000000;4;7;1;0;0
24;Rhyme;Fem;3,36083333333333;2;5;5;0;0
24;Rhyme;Masc;3,13750000000000;0;7;5;0;0
24;Rhyme;Neut;3,07083333333333;0;6;6;0;0
25;NoRhyme;Fem;5,75000000000000;12;0;0;0;0
25;NoRhyme;Masc;5,75000000000000;12;0;0;0;0
25;NoRhyme;Neut;5,36666666666667;10;2;0;0;0
25;Rhyme;Fem;4,27166666666667;9;3;0;0;0
25;Rhyme;Masc;4,40333333333333;9;3;0;0;0
25;Rhyme;Neut;3,82833333333333;6;6;0;0;0
26;NoRhyme;Fem;3,26333333333333;0;10;0;2;0
26;NoRhyme;Masc;3,06250000000000;0;8;0;4;0
26;NoRhyme;Neut;2,40916666666667;0;1;0;11;0
26;Rhyme;Fem;3,16833333333333;0;9;1;2;0
26;Rhyme;Masc;3,21916666666667;0;10;1;1;0
26;Rhyme;Neut;2,89000000000000;0;6;0;6;0
27;NoRhyme;Fem;4,40833333333333;5;7;0;0;0
27;NoRhyme;Masc;3,20833333333333;0;9;2;1;0
27;NoRhyme;Neut;2,33000000000000;0;0;0;12;0
27;Rhyme;Fem;3,95416666666667;3;8;1;0;0
27;Rhyme;Masc;3,16083333333333;0;8;2;2;0
27;Rhyme;Neut;2,34545454545455;0;0;0;11;0
28;NoRhyme;Fem;4,39416666666667;5;7;0;0;0
28;NoRhyme;Masc;3,40750000000000;0;12;0;0;0
28;NoRhyme;Neut;3,61333333333333;1;11;0;0;0
28;Rhyme;Fem;3,94000000000000;3;8;1;0;0
28;Rhyme;Masc;3,73416666666667;2;9;1;0;0
28;Rhyme;Neut;3,48500000000000;2;9;1;0;0
29;NoRhyme;Fem;4,40833333333333;5;7;0;0;0
29;NoRhyme;Masc;3,30916666666667;0;10;2;0;0
29;NoRhyme;Neut;3,62750000000000;1;11;0;0;0
29;Rhyme;Fem;4,32083333333333;6;4;2;0;0
29;Rhyme;Masc;3,80333333333333;3;6;3;0;0
29;Rhyme;Neut;4,10750000000000;4;7;1;0;0
