EmoVal	Freq	WORD	WORD_LOWER	WORD_CLASS	EMO_MEAN	EMO_STD	AROUSAL_MEAN	AROUSAL_STD	IMAGE_MEAN	IMAGE_STD	LETTERS	PHONEMES	SYLLABLES	Ftot/1MIL	N	FN	HFN	FHFN	BIGmean(TOKEN)	ACCENT
NEG	NF	WERWOLF	werwolf	N	-1,7	0,8	3,8	1,0	5,9	1,7	7	7	2	1,0	0	0,0	0	0,0	302186,8	1
NEG	NF	WESPE	wespe	N	-1,2	1,2	3,5	0,9	6,0	1,4	5	5	2	2,2	2	31,7	1	31,0	107942,0	1
NEG	HF	WESTE	weste	N	-0,1	1,0	1,9	0,8	5,0	1,4	5	5	2	31,0	5	53,2	0	0,0	214494,0	1
POS	NF	WETTEN	wetten	V	0,6	0,7	3,1	1,5	3,1	1,4	6	5	2	6,0	10	1474,0	9	427,0	322711,6	1
POS	NF	WHISKY	whisky	N	0,4	1,3	2,7	1,1	5,8	1,6	6	5	2	7,8	0	0,0	0	0,0	40918,8	1
POS	HF	WIDERSTAND	widerstand	N	0,2	1,5	3,2	1,2	4,3	1,7	10	10	3	67,2	0	0,0	0	0,0	387540,9	1
POS	HF	WIDMEN	widmen	V	1,1	1,2	2,1	1,1	2,2	1,4	6	6	2	49,0	0	0,0	0	0,0	259719,4	1
POS	NF	WIEGE	wiege	N	1,1	0,9	1,3	0,5	5,2	1,5	5	4	2	5,3	4	31,0	2	29,0	197166,8	1
POS	HF	WIESE	wiese	N	1,6	0,9	1,4	0,7	5,8	1,4	5	4	2	20,8	4	43,0	1	31,0	225925,5	1
POS	HF	WILLE	wille	N	1,7	0,7	3,3	1,1	2,3	1,4	5	4	2	77,8	5	66,8	0	0,0	114203,5	1
POS	HF	WILLEN	willen	N	1,2	1,1	2,9	1,1	2,4	1,6	6	5	2	70,5	4	1742,5	1	1741,0	298206,0	1
POS	HF	WIND	wind	N	1,3	1,4	2,3	1,2	5,5	1,5	4	4	1	61,7	7	550,3	1	417,2	335062,0	1
NEG	NF	WINSELN	winseln	V	-1,7	0,7	2,6	1,3	4,3	1,9	7	7	2	0,7	4	15,0	2	8,0	208127,7	1
POS	HF	WINTER	winter	N	0,3	1,8	2,1	1,1	6,6	0,6	6	6	2	47,5	4	297,8	1	294,2	510412,6	1
POS	NF	WIPPE	wippe	N	1,0	1,3	2,8	1,3	5,7	1,3	5	4	2	0,3	5	44,8	4	44,7	35348,8	1
POS	HF	WIRKEN	wirken	V	0,9	0,9	2,5	1,0	1,9	1,0	6	6	2	142,5	4	27,2	0	0,0	259509,2	1
POS	HF	WIRKUNG	wirkung	N	0,6	0,5	2,4	1,1	1,8	0,7	7	6	2	84,5	1	0,3	0	0,0	132268,0	1
NEG	NF	WIRRNIS	wirrnis	N	-1,6	1,1	3,4	0,8	2,4	1,6	7	6	2	1,3	0	0,0	0	0,0	82356,5	1
POS	HF	WISSEN	wissen	N	2,0	0,8	2,7	1,2	2,6	1,6	6	5	2	798,5	5	13,3	0	0,0	339055,8	1
NEG	HF	WITWE	witwe	N	-1,4	0,9	3,3	0,8	3,7	1,8	5	5	2	19,2	0	0,0	0	0,0	133759,8	1
NEG	NF	WITWER	witwer	N	-1,4	1,2	2,9	1,0	3,5	1,9	6	6	2	3,0	0	0,0	0	0,0	404519,6	1
NEG	HF	WOCHE	woche	N	0,2	0,8	1,9	0,9	2,2	1,5	5	4	2	375,0	2	8,0	0	0,0	267442,5	1
