xpos2,inf0
Ggdn,pritegniti
Ggdn,razkriti
Ggnn,skrivati
Ggnn,slediti
Ggdn,sprejeti
Ggdn,uporabiti
Ggnn,vlagati
Ggdn,vložiti
Ggdn,vprašati
Ggdn,vrniti
Ggdn,vzeti
Ggdn,zagnati
Ggvn,amputirati
Ggnn,barvati
Ggnn,boriti
Ggnn,čistiti
Ggnn,čuvati
Ggnn,delovati
Ggnn,dokazovati
Ggdn,doseči
Ggdn,dovoliti
Ggdn,doživeti
Ggnn,gasiti
Ggnn,hiteti
Ggnn,hraniti
Ggdn,izbrati
Ggdn,izkoreniniti
Ggdn,izkoristiti
Ggnn,izobraževati
Ggnn,izpostavljati
Ggdn,iztrgati
Ggnn,izumljati
Ggdn,izvršiti
Ggnn,jemati
Ggnn,kljubovati
Ggnn,koristiti
Ggnn,kovati
Ggnn,kupovati
Ggnn,ločevati
Ggnn,načrtovati
Ggdn,nadomestiti
Ggdn,naliti
Ggnn,namakati
Ggdn,naročiti
Ggnn,naslavljati
Ggdn,navaditi
Ggdn,navesti
L,niti
Ggdn,obdelati
Ggnn,obnašati
Ggdn,odpreti
Ggdn,odzvati
Ggdn,ohraniti
Ggnn,ohranjati
Ggdn,omogočiti
Ggnn,opravljati
Ggdn,opremiti
Ggdn,označiti
Ggdn,počistiti
Ggnn,podpirati
Ggdn,poenotiti
Ggdn,pohvaliti
Ggdn,pokazati
Ggdn,poklicati
Ggdn,porabiti
Ggdn,posejati
Ggdn,posloviti
Ggnn,poslušati
Ggdn,pospremiti
Ggvn,posredovati
Ggdn,postaviti
Ggdn,posvetiti
Ggvn,posvetovati
Ggnn,pozivati
Ggnn,poznati
Ggnn,predajati
Ggdn,pregledati
Ggdn,preiti
Ggdn,prenehati
Ggdn,prenesti
Ggdn,preprečiti
Ggdn,prepričati
Ggdn,presoditi
Ggnn,prestajati
Ggdn,pretehtati
Ggnn,pretiravati
Ggdn,prevetriti
Ggdn,preživeti
Ggdn,priključiti
Ggdn,prikloniti
Ggdn,priklopiti
Ggdn,prilagoditi
Ggdn,prinesti
Ggdn,prišteti
Ggdn,prižgati
Ggdn,proučiti
Ggdn,pustiti
Ggnn,ravnati
Ggdn,razbremeniti
Ggdn,razčistiti
Ggdn,raziskati
Ggdn,razkrinkati
Ggdn,razkužiti
Ggnn,razlikovati
Ggdn,razmakniti
Ggvn,rehabilitirati
Ggvn,reorganizirati
Ggnn,sedeti
Ggnn,sestavljati
Ggdn,seznaniti
Ggdn,shraniti
Ggdn,skleniti
Ggnn,soočati
Ggnn,spodbujati
Ggdn,spopasti
Ggdn,spoprijeti
Ggvn,spoznati
Ggdn,sprehoditi
Ggnn,spremljati
Ggdn,sprostiti
Ggdn,sprožiti
Ggdn,stopiti
Ggvn,testirati
Ggdn,ugotoviti
Ggdn,ukazati
Ggnn,ukrepati
Ggnn,ukvarjati
Ggdn,umakniti
Ggdn,usesti
Ggdn,ustaviti
Ggdn,uvesti
Ggnn,vključevati
Ggdn,vključiti
Ggdn,vpeljati
Ggdn,vzdržati
Ggdn,vzpostaviti
Ggnn,zapirati
Ggdn,zaščititi
Ggvn,zaupati
Ggdn,zavarovati
Ggdn,zaviti
Ggdn,zavreči
Ggdn,združiti
Ggnn,znati
Gp-n,biti
Ggnn,imeti
Ggdn,postati
Ggnn,vedeti
Ggdn,storiti
Ggdn,dati
Ggdn,poskrbeti
Ggnn,znati
Ggdn,narediti
Ggdn,sprejeti
Ggdn,začeti
Ggdn,dobiti
Ggdn,odstopiti
Ggdn,ostati
Ggdn,povedati
Ggdn,priznati
Ggnn,spoštovati
Ggdn,plačati
Ggdn,podpreti
Ggdn,stopiti
Ggnn,ukrepati
Ggnn,vračati
Ggdn,zagotoviti
Ggnn,boriti
Ggdn,končati
Ggdn,omogočiti
Ggdn,opraviti
Ggnn,poznati
Sozmt,reči
Ggnn,skrbeti
Ggnn,slediti
Ggnn,voditi
Ggdn,vprašati
Ggnn,zagovarjati
Ggnn,braniti
Ggnn,govoriti
Ggdn,najti
Ggnn,odgovarjati
Ggdn,počakati
Ggdn,pojasniti
Ggnn,sodelovati
Ppnmmi,temeljiti
