FED;FEDfull;Ambiguity.D;Length.L;Length.W;Emovalsq;Emoval;Arousal;Familiarity;Sem.transp;Figurative;Concrete;Ambig;Confidence
dnKpfwndh;den Kopf woanders haben;0;20;4;1,436619718;-0,478873239;3,422535211;4,605633803;4,521126761;4,774647887;3,309859155;0,154929577;4,915492958
dnKrradDz;den Karren aus dem Dreck ziehen;1;26;6;3,84057971;1,231884058;3,956521739;3,913043478;4,086956522;4,043478261;3,797101449;0,579710145;5,246376812
dnKrridDf;den Karren in den Dreck fahren;1;25;6;4,38028169;-1,507042254;4;3,521126761;3,718309859;4,464788732;4,042253521;0,549295775;4,816901408
dnKrzrnzh;den Kürzeren ziehen;1;17;3;3,885714286;-1;4,042857143;5,285714286;3,928571429;4,814285714;3,671428571;0,414285714;5,114285714
dnLdnschm;den Laden schmeißen;0;17;3;4,647887324;0,788732394;4,126760563;5,070422535;3,647887324;4,690140845;3,478873239;0,253521127;4,873239437
dnLfflabg;den Löffel abgeben;1;16;3;6,623188406;-1,724637681;4,47826087;4,724637681;3,536231884;5,086956522;3,536231884;0,637681159;5,739130435
dnMndncha;den Mund nicht aufbekommen;1;23;4;2,549295775;-0,38028169;3,38028169;4,718309859;4,464788732;4,098591549;3,830985915;0,521126761;5,338028169
dnNgladKt;den Nagel auf den Kopf treffen;1;25;6;3,944444444;1,472222222;3,958333333;5,5;4;4,763888889;4,305555556;0,597222222;5,5
dnrchtgTf;den richtigen Ton finden;1;21;4;4,130434783;1,52173913;3,811594203;4,391304348;4,028985507;4,391304348;3,898550725;0,550724638;5,173913043
dnRtstfta;den Rotstift ansetzen;1;19;3;1,897058824;-0,044117647;3,5;2,897058824;3,573529412;4,514705882;3,455882353;0,485294118;4,602941176
dNrvnvrlr;die Nerven verlieren;0;18;3;6,814285714;-1,928571429;5,057142857;5,642857143;4,557142857;4,185714286;3,414285714;0,142857143;5,314285714
dnSchliNh;den Schalk im Nacken haben;1;22;5;3,485714286;-0,028571429;4;3,042857143;3,028571429;5,057142857;3,785714286;0,142857143;4,242857143
dnSchnblh;den Schnabel halten;1;17;3;2,6;-0,171428571;3,785714286;5,1;4,157142857;4,8;3,642857143;0,542857143;5,6
dnSchwnze;den Schwanz einziehen;1;19;3;3,6;-0,942857143;4,085714286;4,685714286;3,628571429;4,971428571;3,828571429;0,385714286;5,185714286
dnStrbdHp;den Stier bei den Hörnern packen;1;27;6;3,638888889;0,611111111;3,833333333;4,541666667;3,486111111;4,736111111;3,708333333;0,541666667;4,694444444
dNsvllhbn;die Nase voll haben;1;16;4;3,391304348;-0,927536232;4,579710145;5,260869565;4,028985507;4,956521739;3,884057971;0,637681159;5,173913043
dnTfladWm;den Teufel an die Wand malen;1;23;6;5,573529412;-1,485294118;4,735294118;4,705882353;3,5;5,014705882;3,720588235;0,588235294;5
dnTflimLh;den Teufel im Leib haben;0;20;5;5,211267606;-1,577464789;4,535211268;4,028169014;4,014084507;5,464788732;3,732394366;0,098591549;4,971830986
dnVglabsc;den Vogel abschießen;1;18;3;3,391304348;-0,115942029;4,31884058;3,855072464;3,913043478;5,347826087;3,579710145;0,507246377;4,608695652
dOhrnsptz;die Ohren spitzen;0;15;3;2,028169014;0,478873239;3,507042254;4,76056338;3,605633803;5,098591549;3,422535211;0,169014085;5,38028169
drchgknls;durchgeknallt sein;0;17;2;4,76056338;-1,126760563;4,422535211;5,661971831;5,183098592;3,633802817;3,323943662;0,408450704;5,211267606
