vowel,time_index,v_time,time_abs,F1,F2,F3
oo,10,0.095,11.281,334,779,2896
oo,11,0.106,11.291,337,823,3040
oo,12,0.116,11.302,347,859,2965
oo,13,0.127,11.313,345,913,2911
oo,14,0.138,11.323,324,1013,2801
oo,15,0.148,11.334,278,1314,2459
O,1,0,12.121,334,1507,2599
O,2,0.005,12.126,404,1279,2587
O,3,0.01,12.131,482,1246,2605
O,4,0.016,12.136,524,1230,2611
O,5,0.021,12.141,541,1195,2614
O,6,0.026,12.147,558,1175,2632
O,7,0.031,12.152,574,1171,2656
O,8,0.036,12.157,606,1208,2680
O,9,0.041,12.162,609,1210,2692
O,10,0.047,12.167,592,1222,2708
O,11,0.052,12.173,572,1295,2852
O,12,0.057,12.178,559,1432,3166
O,13,0.062,12.183,515,1435,2949
O,14,0.067,12.188,459,1450,2881
O,15,0.072,12.193,389,1517,2883
